tBodyAcc.mean...X	tBodyAccelerometerXaxisMean
tBodyAcc.mean...Y	tBodyAccelerometerYaxisMean
tBodyAcc.mean...Z	tBodyAccelerometerZaxisMean
tGravityAcc.mean...X	tGravityAccelerometerXaxisMean
tGravityAcc.mean...Y	tGravityAccelerometerYaxisMean
tGravityAcc.mean...Z	tGravityAccelerometerZaxisMean
tBodyAccJerk.mean...X	tBodyAccelerometerJerkXaxisMean
tBodyAccJerk.mean...Y	tBodyAccelerometerJerkYaxisMean
tBodyAccJerk.mean...Z	tBodyAccelerometerJerkZaxisMean
tBodyGyro.mean...X	tBodyGyroscopescopeXaxisMean
tBodyGyro.mean...Y	tBodyGyroscopeYaxisMean
tBodyGyro.mean...Z	tBodyGyroscopeZaxisMean
tBodyGyroJerk.mean...X	tBodyGyroscopeJerkXaxisMean
tBodyGyroJerk.mean...Y	tBodyGyroscopeJerkYaxisMean
tBodyGyroJerk.mean...Z	tBodyGyroscopeJerkZaxisMean
tBodyAccMag.mean..	tBodyAccelerometerMeanMagnitude
tGravityAccMag.mean..	tGravityAccelerometerMeanMagnitude
tBodyAccJerkMag.mean..	tBodyAccelerometerJerkMeanMagnitude
tBodyGyroMag.mean..	tBodyGyroscopeMeanMagnitude
tBodyGyroJerkMag.mean..	tBodyGyroscopeJerkMeanMagnitude
fBodyAcc.mean...X	fBodyAccelerometerXaxisMean
fBodyAcc.mean...Y	fBodyAccelerometerYaxisMean
fBodyAcc.mean...Z	fBodyAccelerometerZaxisMean
fBodyAccJerk.mean...X	fBodyAccelerometerJerkXaxisMean
fBodyAccJerk.mean...Y	fBodyAccelerometerJerkYaxisMean
fBodyAccJerk.mean...Z	fBodyAccelerometerJerkZaxisMean
fBodyGyro.mean...X	fBodyGyroscopeXaxisMean
fBodyGyro.mean...Y	fBodyGyroscopeYaxisMean
fBodyGyro.mean...Z	fBodyGyroscopeZaxisMean
fBodyAccMag.mean..	fBodyAccelerometerMeanMagnitude
fBodyBodyAccJerkMag.mean..	fBodyBodyAccelerometerJerkMeanMagnitude
fBodyBodyGyroMag.mean..	fBodyBodyGyroscopeMeanMagnitude
fBodyBodyGyroJerkMag.mean..	fBodyBodyGyroscopeJerkMeanMagnitude
tBodyAcc.std...X	tBodyAccelerometerXaxisStdDev
tBodyAcc.std...Y	tBodyAccelerometerYaxisStdDev
tBodyAcc.std...Z	tBodyAccelerometerZaxisStdDev
tGravityAcc.std...X	tGravityAccelerometerXaxisStdDev
tGravityAcc.std...Y	tGravityAccelerometerYaxisStdDev
tGravityAcc.std...Z	tGravityAccelerometerZaxisStdDev
tBodyAccJerk.std...X	tBodyAccelerometerJerkXaxisStdDev
tBodyAccJerk.std...Y	tBodyAccelerometerJerkYaxisStdDev
tBodyAccJerk.std...Z	tBodyAccelerometerJerkZaxisStdDev
tBodyGyro.std...X	tBodyGyroscopeXaxisStdDev
tBodyGyro.std...Y	tBodyGyroscopeYaxisStdDev
tBodyGyro.std...Z	tBodyGyroscopeZaxisStdDev
tBodyGyroJerk.std...X	tBodyGyroscopeJerkXaxisStdDev
tBodyGyroJerk.std...Y	tBodyGyroscopeJerkYaxisStdDev
tBodyGyroJerk.std...Z	tBodyGyroscopeJerkZaxisStdDev
tBodyAccMag.std..	tBodyAccelerometerStdDevMagnitude
tGravityAccMag.std..	tGravityAccelerometerStdDevMagnitude
tBodyAccJerkMag.std..	tBodyAccelerometerJerkStdDevMagnitude
tBodyGyroMag.std..	tBodyGyroscopeStdDevMagnitude
tBodyGyroJerkMag.std..	tBodyGyroscopeJerkStdDevMagnitude
fBodyAcc.std...X	fBodyAccelerometerXaxisStdDev
fBodyAcc.std...Y	fBodyAccelerometerYaxisStdDev
fBodyAcc.std...Z	fBodyAccelerometerZaxisStdDev
fBodyAccJerk.std...X	fBodyAccelerometerJerkXaxisStdDev
fBodyAccJerk.std...Y	fBodyAccelerometerJerkYaxisStdDev
fBodyAccJerk.std...Z	fBodyAccelerometerJerkZaxisStdDev
fBodyGyro.std...X	fBodyGyroscopeXaxisStdDev
fBodyGyro.std...Y	fBodyGyroscopeYaxisStdDev
fBodyGyro.std...Z	fBodyGyroscopeZaxisStdDev
fBodyAccMag.std..	fBodyAccelerometerStdDevMagnitude
fBodyBodyAccJerkMag.std..	fBodyBodyAccelerometerJerkStdDevMagnitude
fBodyBodyGyroMag.std..	fBodyBodyGyroscopeStdDevMagnitude
fBodyBodyGyroJerkMag.std..	fBodyBodyGyroscopeJerkStdDevMagnitude
